	1970s	1980s	1990s	2000s	2010s	1970s	1980s	1990s	2000s	2010s	1974-75	1975-76	1976-77	1977-78	1978-79	1979-80	1980-81	1981-82	1982-83	1983-84	1984-85	1985-86	1986-87	1987-88	1988-89	1989-90	1990-91	1991-92	1992-93	1993-94	1994-95	1995-96	1996-97	1997-98	1998-99	1999-2000	2000-01	2001-02	2002-03	2003-04	2004-05	2005-06	2006-07	2007-08	2008-09	2009-10	2010-11	2011-12	2012-13	2013-14	2014-15
 LIB & ARCHIVES CANADA 	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-12.90%	28.20%	-28.00%	-32.10%	-46.70%	-76.00%	8.00%	N/A	N/A
 LIBRARY OF CONGRESS 	0	0	0	0	1	N/A	N/A	N/A	N/A	5.30%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	33.00%	7.30%	3.80%	12.00%	30.90%	-16.30%	-13.70%	19.70%	-0.60%
 LOUISIANA STATE 	1	1	1	1	1	12.70%	9.00%	4.30%	4.40%	6.90%	-14.70%	48.00%	6.70%	-17.80%	41.50%	12.00%	47.50%	17.60%	11.50%	-12.70%	8.30%	8.20%	3.20%	-3.50%	-1.80%	1.20%	-1.40%	44.60%	-34.00%	-5.50%	3.90%	8.50%	6.20%	16.30%	3.00%	12.40%	9.30%	7.10%	-3.40%	11.30%	14.70%	-3.70%	14.00%	-2.90%	-14.40%	-10.10%	31.60%	-12.10%	17.10%	-6.30%	21.20%
 LOUISVILLE 	0	0	0	0	1	N/A	N/A	N/A	N/A	0.80%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6.90%	-0.40%	0.10%	6.00%	-30.80%	45.40%	3.10%	-0.20%	5.10%	-6.30%	3.70%	2.60%	-0.40%
 MANITOBA 	0	0	1	1	1	N/A	N/A	3.80%	9.10%	2.10%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.20%	30.70%	0.60%	3.60%	10.70%	-12.10%	15.90%	19.10%	5.60%	4.20%	10.00%	-3.90%	0.10%	-6.10%	-0.30%	12.00%	6.60%	9.50%	4.10%	-0.70%	14.80%	20.90%	26.30%	4.20%	6.20%	6.30%	16.00%	-6.90%	8.40%	14.80%	9.40%	0.00%	-10.90%	-9.00%
 MARYLAND 	1	1	1	1	1	-2.30%	8.80%	6.50%	4.30%	4.40%	-28.70%	11.90%	-25.70%	18.60%	12.40%	8.60%	9.10%	11.90%	4.00%	6.90%	20.40%	12.00%	2.10%	19.70%	-6.90%	17.90%	10.30%	-15.00%	9.00%	-0.50%	-4.00%	23.60%	-11.40%	23.60%	11.90%	4.90%	2.30%	14.00%	-19.00%	9.60%	18.60%	3.40%	8.10%	7.40%	-5.90%	12.40%	11.90%	2.20%	-5.80%	-0.80%	6.60%
 MASSACHUSETTS 	1	1	1	1	1	2.90%	16.10%	6.10%	4.90%	3.40%	-14.60%	13.20%	2.70%	-13.60%	27.00%	24.10%	1.10%	16.10%	13.40%	-4.90%	11.80%	19.10%	121.60%	-18.30%	-23.20%	-19.80%	4.30%	-13.70%	62.40%	-5.50%	10.80%	11.40%	7.90%	-3.70%	6.40%	15.80%	0.10%	-28.30%	41.90%	-7.40%	6.40%	5.70%	4.90%	11.80%	-1.90%	-5.50%	6.10%	7.20%	1.10%	8.50%	3.10%
 MCGILL 	1	1	1	1	1	9.00%	9.60%	3.90%	9.40%	3.90%	-27.90%	38.60%	7.60%	18.50%	8.30%	-10.80%	5.20%	6.40%	10.00%	14.20%	15.80%	9.20%	23.60%	20.20%	2.10%	0.80%	2.80%	7.40%	-10.30%	2.20%	0.50%	16.20%	0.90%	14.70%	4.30%	1.70%	10.80%	21.50%	32.80%	-2.00%	9.60%	1.50%	5.40%	32.10%	-19.20%	6.40%	13.40%	12.80%	-9.60%	4.20%	-3.60%
 MCMASTER 	0	1	1	1	1	N/A	7.20%	0.20%	8.30%	1.90%	N/A	N/A	10.20%	17.10%	22.30%	-8.10%	9.40%	7.10%	8.10%	9.20%	8.70%	-3.90%	6.00%	20.90%	14.80%	8.50%	3.60%	-0.60%	-8.70%	-5.60%	-1.60%	3.90%	-5.90%	4.60%	4.10%	5.30%	10.80%	7.10%	3.80%	16.60%	8.50%	14.10%	2.80%	17.70%	-3.40%	7.10%	4.80%	2.70%	7.00%	-7.50%	-2.50%
 MIAMI 	0	1	1	1	1	N/A	11.50%	5.90%	9.10%	0.10%	N/A	N/A	12.80%	14.20%	20.60%	19.70%	16.60%	-1.80%	20.60%	0.20%	11.60%	6.40%	19.70%	14.40%	7.30%	2.40%	9.80%	16.30%	11.70%	1.70%	0.00%	7.00%	12.00%	-3.40%	1.10%	14.50%	6.40%	5.80%	20.20%	12.70%	4.00%	13.00%	15.00%	-4.40%	3.60%	-0.70%	-6.90%	2.30%	2.70%	-0.10%	3.60%
 MICHIGAN 	1	1	1	1	1	7.60%	11.30%	8.40%	3.70%	2.70%	4.20%	14.30%	13.90%	-8.80%	14.30%	25.90%	18.20%	-2.30%	16.10%	-2.10%	13.30%	15.30%	22.70%	2.10%	3.50%	11.80%	10.80%	4.30%	9.00%	6.90%	7.10%	10.00%	10.50%	2.70%	10.50%	4.10%	8.20%	2.60%	5.60%	-2.30%	8.10%	1.80%	-0.70%	0.00%	9.90%	1.90%	7.60%	-2.00%	1.90%	3.00%	3.50%
 MICHIGAN STATE 	1	1	1	1	1	6.00%	8.30%	5.60%	6.70%	6.70%	-10.30%	1.90%	17.40%	12.20%	8.60%	4.60%	6.30%	24.30%	-0.70%	6.70%	10.30%	12.00%	12.20%	2.00%	5.50%	6.00%	10.70%	-1.50%	11.00%	0.60%	8.30%	9.10%	2.10%	3.70%	5.70%	12.20%	1.60%	7.80%	8.90%	6.10%	8.10%	4.90%	6.20%	6.70%	4.50%	13.90%	7.30%	4.30%	5.60%	2.90%	6.40%
 MINNESOTA 	1	1	1	1	1	3.50%	10.80%	6.50%	5.60%	1.60%	-8.10%	14.30%	-16.80%	21.10%	6.90%	12.00%	10.20%	9.30%	24.20%	6.10%	-2.50%	25.70%	1.50%	16.80%	4.80%	18.30%	20.60%	-14.10%	17.90%	0.20%	4.80%	4.00%	8.20%	-1.90%	6.60%	4.30%	-4.50%	5.00%	4.20%	9.10%	6.30%	12.70%	10.90%	5.60%	2.50%	0.10%	-1.40%	4.70%	2.40%	0.00%	3.90%
 MISSOURI 	1	1	1	1	1	4.30%	11.40%	8.40%	4.70%	2.30%	-13.30%	15.40%	-3.60%	16.50%	6.40%	20.40%	-3.30%	14.60%	9.00%	-0.30%	5.50%	100.30%	-46.80%	8.60%	6.10%	13.60%	17.20%	6.60%	1.80%	-1.10%	19.80%	13.60%	-8.10%	2.00%	18.10%	2.70%	-10.30%	19.60%	4.40%	-7.90%	-3.00%	10.80%	29.80%	1.50%	-0.70%	15.30%	-26.30%	6.00%	36.20%	-16.50%	-0.60%
 MIT 	1	1	1	1	1	6.50%	10.10%	7.30%	5.90%	2.90%	-1.20%	2.70%	9.30%	8.10%	13.80%	16.10%	9.60%	19.60%	5.90%	2.50%	4.40%	25.00%	9.00%	8.50%	0.60%	-0.30%	23.40%	1.70%	4.80%	5.40%	5.20%	-7.00%	23.40%	-7.10%	23.50%	-2.40%	7.40%	11.90%	9.70%	4.50%	3.10%	11.40%	3.40%	8.00%	1.90%	-0.60%	-7.40%	11.10%	1.70%	4.90%	7.40%
 MONTREAL 	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	13.20%	4.50%	25.50%	13.10%	8.90%	1.70%	7.20%	8.40%	-3.60%	0.10%	22.10%	-18.90%	6.80%	N/A
 NATL AGRICULTURAL LIB 	0	0	0	0	1	N/A	N/A	N/A	N/A	5.30%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-11.70%	-17.00%	9.00%	18.50%	-3.20%	-13.10%	6.30%	25.10%	-2.00%
 NATL ARCHIVES 	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	12.30%
 NATL LIB OF MEDICINE 	0	0	0	0	1	N/A	N/A	N/A	N/A	109.60%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-1.40%	6.40%	4.10%	19.10%	-6.30%	8.40%	2.50%	-72.90%	706.60%
 NATL RES COUNCIL CANADA 	0	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-10.20%	9.30%	N/A	N/A	N/A	8.40%	N/A	N/A	N/A
 NEBRASKA 	1	1	1	1	1	12.10%	8.40%	6.40%	2.30%	5.60%	5.10%	27.10%	16.80%	12.70%	-1.00%	8.30%	5.10%	8.50%	-2.50%	2.80%	46.40%	-1.00%	14.60%	-9.00%	11.00%	-1.20%	21.50%	4.50%	1.60%	4.20%	0.50%	24.90%	6.10%	-1.50%	3.70%	1.40%	11.30%	-8.50%	5.00%	-0.60%	14.10%	6.60%	-11.20%	13.10%	-8.30%	5.20%	12.30%	10.40%	-5.20%	7.90%	3.00%
 NEW MEXICO 	0	1	1	1	1	N/A	14.10%	4.60%	5.50%	4.90%	N/A	N/A	N/A	N/A	N/A	4.00%	4.10%	12.20%	4.10%	12.50%	37.20%	22.50%	-21.50%	-3.30%	69.10%	5.00%	7.80%	-18.30%	32.40%	1.60%	-1.80%	7.70%	2.20%	6.00%	3.00%	18.60%	4.30%	-10.30%	5.40%	-1.60%	-0.90%	-8.80%	33.50%	22.50%	-7.90%	-10.40%	-0.50%	12.60%	-3.40%	20.60%	10.40%
 NEW YORK 	1	1	1	1	1	7.40%	12.80%	7.00%	6.30%	8.10%	-8.30%	6.60%	21.50%	6.80%	10.30%	8.80%	15.30%	46.90%	-14.80%	16.20%	11.50%	2.90%	13.90%	8.80%	18.40%	-3.30%	26.70%	-5.40%	7.30%	6.80%	5.50%	0.60%	13.10%	7.60%	11.00%	0.80%	10.00%	10.20%	5.20%	0.80%	13.40%	11.70%	1.60%	0.60%	8.60%	14.20%	6.60%	6.50%	12.90%	4.00%	4.30%
 NEW YORK PUBLIC 	0	0	0	0	1	N/A	N/A	N/A	N/A	-0.20%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.90%	7.90%	-16.90%	-14.70%	6.60%	-5.00%	-2.00%	19.00%	-5.00%
 NEW YORK STATE 	0	0	0	0	1	N/A	N/A	N/A	N/A	-6.40%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	7.90%	8.00%	-19.50%	0.10%	-34.20%	10.40%	-12.00%	-2.70%	0.00%
 NORTH CAROLINA 	1	1	1	1	1	15.90%	7.30%	7.70%	5.00%	1.30%	12.20%	13.00%	18.40%	16.60%	19.10%	13.50%	3.00%	21.00%	-2.30%	11.70%	9.80%	4.90%	7.30%	1.90%	2.00%	-4.70%	11.90%	8.60%	19.20%	9.10%	1.90%	13.50%	10.10%	-5.50%	12.60%	-4.80%	8.00%	8.70%	-3.10%	9.30%	6.90%	10.00%	3.60%	12.20%	-0.90%	5.00%	-9.60%	0.10%	17.70%	-14.00%	8.80%
 NORTH CAROLINA STATE 	0	0	1	1	1	N/A	N/A	10.60%	2.60%	3.90%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9.90%	10.40%	10.00%	10.00%	3.40%	-4.50%	7.00%	3.50%	7.50%	23.20%	9.00%	1.20%	21.60%	21.70%	-0.60%	11.50%	1.30%	1.40%	-1.10%	18.40%	5.40%	-8.60%	1.50%	1.00%	7.90%	-1.40%	1.10%	14.60%	-2.90%	1.90%	-3.70%	12.20%
 NORTHWESTERN 	1	1	1	1	1	3.50%	-2.00%	121.90%	-3.70%	2.60%	8.80%	-8.10%	-1.00%	-3.20%	20.70%	25.00%	8.40%	0.30%	10.30%	4.30%	14.10%	16.10%	-11.60%	13.40%	-100.00%	N/A	6.20%	7.20%	7.10%	2.70%	6.60%	10.00%	7.80%	0.90%	1048.50%	-89.60%	13.00%	6.30%	6.60%	4.50%	2.70%	5.50%	6.10%	5.30%	2.20%	-1.90%	3.00%	3.20%	2.00%	6.30%	3.30%
 NOTRE DAME 	1	1	1	1	1	14.10%	11.20%	9.10%	5.70%	1.60%	8.90%	-8.60%	22.10%	8.90%	38.90%	12.70%	7.30%	1.50%	11.00%	-0.80%	34.60%	12.30%	16.70%	6.80%	9.40%	12.80%	9.40%	5.40%	-3.10%	14.30%	6.30%	32.10%	7.00%	-2.30%	9.10%	16.60%	7.20%	0.70%	0.20%	-2.40%	2.40%	10.10%	10.00%	10.60%	1.10%	0.90%	5.30%	9.00%	0.20%	-1.90%	-3.70%
 OHIO 	0	0	0	1	1	N/A	N/A	N/A	2.50%	0.20%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.20%	12.90%	4.10%	1.90%	8.10%	3.80%	-4.20%	13.60%	0.20%	-1.20%	0.10%	5.80%	-3.10%	-3.30%	1.10%	1.50%	-1.30%	-6.70%	10.00%
 OHIO STATE 	1	1	1	1	1	3.00%	13.20%	7.90%	7.80%	6.60%	-3.80%	-3.10%	19.20%	1.50%	1.30%	55.80%	-14.90%	23.90%	44.80%	4.60%	5.10%	-10.90%	23.20%	1.70%	-1.40%	6.50%	9.40%	6.30%	6.40%	4.20%	10.70%	7.70%	8.90%	6.60%	12.70%	-38.60%	105.80%	-12.00%	3.80%	5.80%	-29.60%	37.50%	-6.20%	15.10%	-3.90%	-5.60%	19.50%	6.40%	7.00%	16.60%	-4.20%
 OKLAHOMA 	1	1	1	1	1	12.10%	10.70%	7.80%	9.60%	-0.30%	25.60%	22.00%	-9.00%	16.10%	5.60%	44.80%	13.40%	1.70%	5.70%	-3.70%	2.10%	17.60%	5.70%	14.90%	4.40%	9.10%	0.50%	21.80%	-1.40%	1.20%	4.40%	4.70%	13.50%	13.10%	11.10%	8.20%	18.90%	16.90%	-1.90%	20.10%	8.40%	7.50%	7.00%	8.60%	2.30%	-3.20%	1.70%	1.50%	-6.30%	6.00%	-1.20%
 OKLAHOMA STATE 	1	1	1	1	1	6.00%	16.30%	6.90%	5.30%	4.40%	-7.20%	39.80%	12.20%	-17.90%	2.80%	16.60%	41.80%	21.90%	19.10%	-21.00%	38.00%	-9.70%	5.90%	34.80%	15.70%	-15.70%	19.00%	-1.70%	-2.00%	14.60%	38.40%	-7.70%	-6.80%	26.40%	4.90%	9.80%	-4.20%	11.10%	-7.20%	32.10%	8.40%	1.40%	-1.00%	1.90%	1.00%	2.30%	9.50%	4.40%	2.70%	6.90%	0.40%
 OREGON 	1	1	1	1	1	15.80%	8.70%	5.80%	2.20%	4.60%	-5.00%	21.50%	14.60%	11.50%	36.60%	-9.90%	2.40%	35.50%	17.80%	9.10%	4.10%	10.40%	1.40%	13.30%	3.10%	15.00%	4.30%	5.40%	4.70%	12.60%	0.80%	6.60%	-2.00%	8.80%	1.90%	7.90%	-1.20%	4.10%	-2.20%	-2.00%	-4.80%	-3.70%	19.90%	9.10%	-4.90%	-3.80%	3.30%	4.10%	3.40%	9.00%	11.50%
 OTTAWA 	0	0	0	0	1	N/A	N/A	N/A	N/A	3.20%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	17.20%	-1.10%	18.10%	-10.70%	-7.50%
 PENNSYLVANIA 	1	1	1	1	1	2.50%	11.60%	8.60%	4.60%	3.90%	-13.20%	4.80%	8.00%	-0.60%	13.30%	20.30%	15.90%	-6.60%	10.10%	18.60%	0.40%	23.70%	5.50%	21.00%	7.70%	4.80%	18.20%	8.30%	12.30%	7.40%	5.40%	10.10%	6.50%	7.30%	6.10%	6.00%	7.70%	4.80%	4.40%	5.20%	2.50%	5.00%	4.90%	5.10%	0.40%	2.10%	3.30%	3.30%	5.00%	5.60%	4.30%
 PENNSYLVANIA STATE 	1	1	1	1	1	-1.30%	11.50%	9.10%	3.90%	1.70%	-16.20%	0.00%	4.40%	7.90%	-2.40%	18.10%	6.30%	11.70%	8.90%	12.90%	8.40%	6.60%	8.70%	18.20%	15.00%	10.50%	6.10%	7.80%	1.50%	9.90%	1.10%	3.10%	26.70%	14.70%	9.20%	2.00%	3.40%	8.50%	5.40%	-2.30%	16.80%	2.90%	1.20%	-2.60%	3.70%	-2.90%	2.10%	9.70%	1.40%	-0.50%	0.70%
 PITTSBURGH 	1	1	1	1	1	6.00%	10.60%	7.10%	5.80%	2.90%	3.20%	8.00%	14.40%	-4.10%	8.20%	-2.00%	12.70%	12.70%	12.00%	3.50%	6.60%	9.00%	19.40%	10.40%	21.70%	10.10%	9.00%	11.40%	1.30%	18.20%	7.40%	3.70%	-3.20%	2.00%	11.20%	17.80%	10.30%	3.30%	4.10%	1.70%	11.50%	4.30%	5.90%	2.90%	-4.40%	9.80%	-8.00%	1.50%	6.70%	6.90%	0.60%
 PRINCETON 	1	1	1	1	1	6.70%	9.00%	7.80%	7.70%	3.30%	0.70%	9.50%	-10.40%	22.70%	11.20%	17.70%	2.30%	9.40%	9.40%	4.00%	7.90%	15.40%	15.40%	15.10%	-6.30%	14.40%	9.10%	7.80%	8.70%	2.80%	13.50%	12.10%	-6.20%	10.90%	4.50%	-6.90%	12.70%	6.00%	8.90%	7.00%	3.40%	17.70%	10.00%	15.00%	3.50%	5.60%	1.50%	0.40%	2.20%	7.10%	3.20%
 PURDUE 	1	1	1	1	1	5.20%	9.10%	4.40%	9.50%	4.30%	-4.50%	5.70%	6.50%	3.20%	15.10%	14.30%	7.60%	8.30%	0.50%	7.30%	10.70%	9.60%	16.20%	11.70%	4.70%	4.60%	15.10%	4.40%	1.40%	-0.20%	6.90%	14.30%	5.50%	-10.00%	1.80%	12.30%	7.50%	5.60%	13.20%	6.60%	31.50%	15.00%	-8.20%	5.00%	6.10%	0.20%	2.10%	8.00%	6.80%	1.40%	7.50%
 QUEEN'S 	0	1	1	1	1	N/A	11.50%	3.50%	7.40%	2.00%	N/A	N/A	-12.70%	4.90%	9.80%	19.00%	2.40%	8.00%	16.70%	10.20%	2.80%	7.10%	13.50%	45.00%	-9.40%	11.10%	5.90%	6.90%	-8.10%	-6.00%	5.90%	8.40%	-5.50%	2.40%	14.00%	0.30%	-3.30%	17.10%	19.40%	17.40%	-0.80%	16.50%	7.90%	12.20%	-12.70%	10.10%	6.60%	1.50%	2.50%	-12.30%	3.40%
 RICE 	1	1	1	1	1	9.40%	11.20%	11.20%	4.80%	2.30%	3.10%	12.20%	11.00%	4.80%	16.10%	31.20%	13.50%	9.70%	8.60%	2.30%	6.70%	12.60%	9.70%	8.10%	9.50%	-4.20%	21.40%	18.90%	3.00%	14.90%	15.70%	3.20%	18.10%	9.90%	11.10%	-1.30%	9.20%	19.80%	-4.80%	-5.60%	12.60%	10.00%	1.30%	12.50%	-6.00%	-4.30%	-0.90%	0.40%	2.60%	-2.80%	18.80%
 ROCHESTER 	1	1	1	1	1	6.70%	11.60%	3.90%	5.80%	4.40%	-13.50%	18.10%	4.20%	10.00%	14.70%	5.60%	12.50%	-22.90%	56.20%	7.70%	9.30%	11.40%	28.20%	12.20%	-4.20%	10.00%	1.00%	1.90%	5.00%	2.90%	0.20%	3.80%	3.00%	5.90%	5.10%	-3.50%	-3.20%	17.10%	9.10%	5.80%	6.70%	4.60%	6.70%	9.00%	5.90%	3.00%	3.60%	-0.90%	11.60%	2.00%	7.50%
 RUTGERS 	1	1	1	1	1	4.30%	11.30%	1.20%	4.00%	2.60%	-8.60%	-11.20%	11.80%	16.80%	12.50%	-6.30%	-13.70%	12.40%	3.80%	19.30%	9.90%	20.70%	1.20%	56.10%	9.20%	-1.00%	-3.10%	0.80%	7.60%	-6.00%	1.00%	4.30%	3.50%	2.70%	2.30%	8.80%	10.90%	-2.30%	7.40%	1.40%	-0.20%	5.80%	-5.10%	3.80%	9.80%	-8.40%	2.10%	2.00%	8.20%	19.10%	-7.70%
 SASKATCHEWAN 	0	1	1	1	1	N/A	9.80%	2.90%	13.50%	3.90%	N/A	N/A	N/A	N/A	N/A	N/A	11.00%	-2.10%	23.60%	1.30%	-1.60%	15.90%	7.50%	18.60%	14.10%	7.50%	12.40%	17.40%	-14.20%	-6.60%	3.30%	22.80%	-1.50%	-8.40%	-3.90%	0.10%	17.60%	-13.00%	15.40%	30.90%	14.10%	21.60%	74.80%	-34.10%	7.40%	-1.80%	12.90%	7.90%	23.70%	-17.60%	-1.70%
 SMITHSONIAN 	0	0	0	0	1	N/A	N/A	N/A	N/A	7.90%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-33.50%	13.80%	-1.10%	3.40%	4.80%	25.40%	0.10%	5.30%	8.60%
 SOUTH CAROLINA 	0	1	1	1	1	N/A	7.30%	7.20%	3.60%	2.80%	N/A	-20.20%	28.20%	5.00%	8.50%	0.40%	13.70%	-0.30%	-9.10%	18.80%	11.10%	1.70%	6.60%	15.40%	15.00%	6.60%	1.30%	11.00%	1.90%	5.20%	4.20%	18.90%	3.30%	14.20%	5.70%	4.60%	6.60%	-6.70%	-3.00%	13.90%	-5.60%	11.00%	4.80%	8.80%	1.20%	9.10%	-3.70%	0.10%	5.10%	-0.70%	6.80%
 SOUTHERN CALIFORNIA 	1	1	1	1	1	15.00%	8.90%	7.20%	10.40%	2.70%	-0.50%	13.60%	16.70%	28.70%	16.40%	6.40%	11.10%	12.90%	11.70%	3.70%	2.30%	11.60%	11.90%	27.60%	-10.10%	9.90%	11.90%	-5.30%	5.80%	17.20%	5.60%	6.40%	7.10%	3.50%	9.40%	11.80%	5.00%	1.10%	20.20%	-27.00%	34.80%	9.30%	-29.60%	22.00%	55.90%	10.20%	5.00%	5.40%	2.10%	3.70%	-10.40%
 SOUTHERN ILLINOIS 	1	1	1	1	1	182.20%	5.80%	6.90%	3.70%	-0.80%	14.50%	-4.50%	973.40%	-88.70%	15.90%	0.20%	8.90%	6.10%	-6.10%	8.10%	5.80%	10.10%	30.20%	-15.70%	10.10%	16.80%	-0.90%	2.60%	6.00%	9.20%	7.80%	20.30%	-4.60%	3.80%	8.00%	13.80%	12.90%	0.50%	0.50%	4.70%	1.80%	0.60%	0.10%	-1.30%	3.40%	-2.50%	5.60%	5.00%	-11.00%	-0.70%	-1.20%
 STANFORD 	1	1	1	0	0	13.50%	6.90%	7.50%	N/A	N/A	4.60%	6.40%	18.80%	9.10%	28.60%	0.00%	17.00%	0.00%	-2.20%	15.60%	7.50%	3.30%	16.50%	5.30%	6.10%	7.90%	1.20%	13.20%	9.80%	5.30%	15.50%	6.30%	4.10%	2.90%	8.30%	3.30%	5.00%	3.40%	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
 SUNY-ALBANY 	0	1	1	1	1	N/A	8.70%	5.10%	3.10%	2.90%	N/A	-12.10%	20.90%	7.60%	10.00%	17.30%	8.00%	7.50%	6.90%	5.70%	14.20%	5.10%	7.30%	9.60%	5.80%	22.90%	10.30%	-9.00%	-3.00%	8.60%	5.50%	-5.60%	10.40%	3.60%	7.40%	2.60%	11.90%	5.30%	-5.30%	3.10%	11.20%	2.10%	-1.90%	5.30%	-3.80%	-0.10%	0.50%	5.80%	2.70%	6.50%	2.00%
 SUNY-BUFFALO 	1	1	1	1	1	9.40%	9.00%	4.80%	4.60%	1.00%	8.60%	-18.70%	16.20%	17.40%	23.50%	6.50%	14.60%	16.40%	2.80%	5.00%	8.90%	13.40%	4.20%	12.20%	6.40%	7.70%	-1.50%	6.10%	5.20%	5.90%	4.90%	-3.00%	1.50%	7.90%	13.60%	-2.50%	12.70%	10.90%	5.00%	-1.60%	1.50%	5.10%	6.60%	4.50%	3.40%	-8.20%	-4.90%	4.60%	5.60%	5.10%	3.90%
 SUNY-STONY BROOK 	0	1	1	1	1	N/A	10.70%	4.10%	3.80%	3.90%	N/A	-1.40%	2.40%	13.10%	4.50%	10.50%	17.40%	10.70%	11.70%	4.70%	6.10%	18.90%	9.60%	6.00%	11.10%	12.30%	3.20%	-3.50%	12.00%	-5.40%	-1.80%	2.00%	14.30%	4.40%	4.00%	13.30%	2.80%	6.50%	0.30%	-2.20%	5.60%	6.00%	1.20%	6.60%	-2.30%	-4.60%	8.10%	12.10%	1.10%	3.30%	3.30%
 SYRACUSE 	1	1	1	1	1	10.40%	10.40%	3.10%	6.90%	5.30%	-3.30%	22.60%	11.50%	4.10%	17.10%	-4.40%	43.40%	-4.50%	13.10%	17.80%	14.80%	13.40%	-3.50%	9.70%	4.30%	10.80%	4.40%	-4.00%	14.80%	-15.70%	7.60%	0.20%	-5.20%	11.20%	7.00%	9.70%	5.10%	2.60%	1.20%	23.40%	-9.40%	17.70%	2.50%	9.00%	7.60%	11.00%	-1.80%	5.20%	4.30%	5.70%	7.30%
 TEMPLE 	1	1	1	1	1	1.70%	10.20%	5.60%	10.10%	-1.00%	-8.40%	5.50%	-3.10%	13.30%	1.00%	13.60%	11.50%	2.30%	-5.80%	5.40%	15.30%	48.80%	-14.60%	26.90%	-1.30%	8.20%	12.50%	13.40%	-3.50%	1.40%	2.60%	18.80%	-8.50%	8.60%	2.60%	21.50%	6.00%	-0.40%	-1.30%	-2.60%	23.30%	19.90%	28.70%	3.10%	2.90%	0.00%	8.40%	-5.60%	-11.90%	7.00%	-3.70%
