inam,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87, 1987-88 , 1988-89 , 1989-90 , 1990-91 , 1991-92 , 1992-93 , 1993-94 , 1994-95 , 1995-96 , 1996-97 , 1997-98 , 1998-99 , 1999-2000 ,2000-01, 2001-02 , 2002-03 , 2003-04 , 2004-05 ,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
 EMORY ,," $887,999.00 "," $2,818,196.00 "," $1,125,689.00 "," $1,264,242.00 "," $1,523,009.00 ",," $1,760,746.00 "," $1,926,858.00 "," $2,114,835.00 "," $2,322,809.00 "," $2,625,957.00 "," $2,793,982.00 "," $3,168,847.00 "," $3,605,247.00 "," $4,018,775.00 "," $4,387,402.00 "," $5,037,406.00 "," $5,048,232.00 "," $5,582,293.00 "," $6,425,281.00 "," $6,578,513.00 "," $7,097,722.00 "," $7,630,470.00 "," $8,856,483.00 "," $8,667,253.00 "," $10,057,430.00 "," $9,728,051.00 "," $11,223,133.00 "," $11,338,450.00 "," $12,132,614.00 "," $13,370,261.00 "," $14,083,609.00 "," $15,885,660.00 "," $14,902,358.00 "," $16,977,757.00 "," $16,496,488.00 "," $16,507,242.00 "," $16,869,154.00 "," $17,627,015.00 "," $17,697,641.00 ","$18,377,447.00 "
 FLORIDA ," $1,257,069.00 "," $996,745.00 "," $1,048,636.00 "," $1,032,005.00 "," $3,337,220.00 "," $3,724,602.00 "," $2,981,715.00 "," $2,897,884.00 "," $2,446,470.00 "," $2,555,757.00 "," $2,276,279.00 "," $2,930,847.00 "," $3,674,290.00 "," $3,951,100.00 "," $4,631,661.00 "," $4,751,486.00 "," $7,123,393.00 "," $5,318,920.00 "," $4,332,338.00 "," $4,701,918.00 "," $5,671,794.00 "," $6,199,018.00 "," $6,467,004.00 "," $7,133,185.00 "," $8,941,049.00 "," $8,846,715.00 "," $9,780,417.00 "," $11,883,781.00 "," $11,148,617.00 "," $10,213,822.00 "," $10,167,169.00 "," $10,698,308.00 "," $10,821,088.00 "," $11,844,826.00 "," $12,427,750.00 "," $12,261,949.00 "," $12,004,335.00 "," $13,699,233.00 "," $13,020,619.00 "," $13,074,882.00 "," $12,827,981.00 ","$13,188,421.00 "
 FLORIDA STATE ," $1,180,438.00 "," $1,039,855.00 "," $920,079.00 "," $873,479.00 "," $2,936,589.00 "," $2,959,081.00 "," $1,932,316.00 "," $1,961,413.00 "," $1,636,511.00 "," $1,723,455.00 "," $1,465,806.00 "," $2,145,212.00 "," $2,674,535.00 "," $3,108,096.00 "," $3,289,710.00 "," $3,587,395.00 "," $5,502,901.00 "," $4,102,372.00 "," $3,982,605.00 "," $4,125,606.00 "," $4,101,110.00 "," $4,635,904.00 "," $4,385,202.00 "," $4,523,033.00 "," $5,225,776.00 "," $5,204,764.00 "," $5,639,033.00 "," $9,565,920.00 "," $6,736,492.00 "," $6,903,905.00 "," $6,615,443.00 "," $6,902,381.00 "," $7,650,054.00 "," $6,840,347.00 "," $8,183,466.00 "," $8,062,835.00 "," $8,749,087.00 "," $10,152,290.00 "," $9,091,647.00 "," $8,909,355.00 "," $9,440,934.00 ","$9,445,719.00 "
 GEORGE WASHINGTON , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $5,355,531.00 "," $5,824,876.00 "," $5,795,082.00 "," $6,187,238.00 "," $8,095,549.00 "," $8,989,520.00 "," $9,753,414.00 "," $9,172,967.00 "," $9,457,211.00 "," $10,130,875.00 "," $10,388,129.00 "," $11,175,276.00 "," $11,509,525.00 "," $11,519,214.00 "," $11,973,721.00 "," $11,788,773.00 "," $12,193,022.00 ","$12,593,754.00 "
 GEORGETOWN ," $795,059.00 "," $896,313.00 "," $766,931.00 "," $905,069.00 "," $1,072,695.00 "," $1,143,083.00 "," $1,437,336.00 "," $1,593,940.00 "," $1,751,429.00 "," $2,022,798.00 "," $2,261,105.00 "," $2,556,310.00 "," $2,844,978.00 "," $2,958,860.00 "," $3,015,402.00 "," $3,264,924.00 "," $3,903,358.00 "," $4,151,378.00 "," $4,525,512.00 "," $4,841,036.00 "," $5,072,415.00 "," $5,688,257.00 "," $5,844,383.00 "," $6,370,181.00 "," $6,286,327.00 "," $6,730,836.00 "," $7,444,921.00 "," $7,841,581.00 "," $7,756,580.00 "," $8,319,925.00 "," $8,952,158.00 "," $9,371,271.00 "," $10,783,633.00 "," $10,811,711.00 "," $11,242,786.00 "," $12,010,333.00 "," $12,109,640.00 "," $11,759,794.00 "," $12,364,854.00 "," $13,732,922.00 "," $14,399,422.00 ","$13,414,673.00 "
 GEORGIA ," $1,776,840.00 "," $1,668,500.00 "," $1,827,001.00 "," $1,831,403.00 "," $1,941,040.00 "," $2,079,431.00 "," $2,201,720.00 "," $2,253,589.00 "," $2,590,782.00 "," $2,854,541.00 "," $3,095,473.00 "," $3,473,006.00 "," $4,075,059.00 "," $3,997,077.00 "," $4,074,606.00 "," $4,643,148.00 "," $5,220,223.00 "," $4,881,987.00 "," $5,446,525.00 "," $5,601,935.00 "," $5,832,888.00 "," $6,287,192.00 "," $6,735,604.00 "," $7,120,464.00 "," $8,149,818.00 "," $8,568,611.00 "," $8,906,488.00 "," $9,401,438.00 "," $9,597,740.00 "," $9,868,423.00 "," $10,294,637.00 "," $11,013,996.00 "," $11,217,811.00 "," $11,819,042.00 "," $11,605,489.00 "," $10,364,778.00 "," $10,489,974.00 "," $11,341,709.00 "," $11,701,802.00 "," $12,020,519.00 "," $12,831,691.00 ","$13,178,359.00 "
 GEORGIA TECH , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $1,290,196.00 "," $1,227,678.00 "," $1,309,460.00 "," $1,304,083.00 "," $1,538,691.00 "," $1,870,127.00 "," $2,088,317.00 "," $1,981,479.00 "," $2,127,828.00 "," $2,260,099.00 "," $2,250,112.00 "," $2,846,181.00 "," $3,248,252.00 "," $3,502,671.00 "," $3,687,429.00 "," $4,282,688.00 "," $4,283,403.00 "," $4,373,863.00 "," $4,258,674.00 "," $4,564,395.00 "," $4,464,690.00 "," $5,157,312.00 "," $5,294,007.00 "," $5,306,847.00 "," $5,913,698.00 "," $6,205,541.00 "," $6,037,151.00 "," $5,751,353.00 "," $6,610,424.00 "," $6,931,145.00 "," $6,818,190.00 "," $7,474,554.00 ","$7,920,323.00 "
 GUELPH , N/A , N/A , N/A , N/A , N/A ," $1,055,334.00 "," $986,671.00 "," $1,266,033.00 "," $1,363,000.00 "," $1,455,354.00 "," $1,563,705.00 "," $1,353,278.00 "," $1,690,850.00 "," $1,622,799.00 "," $1,621,181.00 "," $1,845,535.00 "," $2,418,596.00 "," $2,204,044.00 "," $2,373,305.00 "," $2,565,962.00 "," $2,383,172.00 "," $2,391,697.00 "," $2,277,516.00 "," $2,522,101.00 "," $2,305,086.00 "," $2,501,940.00 "," $2,723,298.00 "," $2,623,392.00 "," $2,581,849.00 "," $3,235,995.00 "," $4,175,025.00 "," $4,721,391.00 "," $5,039,012.81 "," $5,408,772.41 "," $5,684,408.47 "," $5,818,579.75 "," $6,212,065.18 "," $6,633,311.36 "," $6,837,055.89 "," $7,217,747.36 "," $7,160,714.55 ","$6,673,996.93 "
 HARVARD ," $2,770,020.00 "," $2,644,016.00 "," $2,998,236.00 "," $3,272,036.00 "," $3,569,946.00 "," $4,262,774.00 "," $5,001,716.00 "," $5,728,552.00 "," $5,782,416.00 "," $6,251,797.00 "," $7,067,186.00 "," $6,871,754.00 "," $7,973,926.00 "," $9,412,545.00 "," $9,968,054.00 "," $10,568,940.00 "," $10,997,598.00 "," $11,865,941.00 "," $12,522,340.00 "," $13,554,427.00 "," $14,378,067.00 "," $14,979,412.00 "," $15,835,910.00 "," $17,546,513.00 "," $19,346,111.00 "," $21,225,368.00 "," $22,261,500.00 "," $23,518,761.00 "," $25,646,556.00 "," $26,534,161.00 "," $27,884,613.00 "," $27,569,823.00 "," $28,138,927.00 "," $29,677,074.00 "," $34,291,329.00 "," $35,296,483.00 "," $32,341,358.00 "," $31,223,654.00 "," $45,220,000.00 "," $42,824,113.00 "," $44,854,018.00 ","$45,878,762.00 "
 HAWAII , N/A , N/A ," $1,117,954.00 "," $1,054,029.00 "," $1,273,847.00 "," $1,323,880.00 "," $1,609,089.00 "," $1,749,203.00 "," $2,053,661.00 "," $2,104,712.00 "," $2,005,032.00 "," $2,045,989.00 "," $2,549,867.00 "," $2,474,488.00 "," $2,654,743.00 "," $2,929,004.00 "," $3,428,219.00 "," $3,467,564.00 "," $3,914,724.00 "," $4,054,214.00 "," $4,418,527.00 "," $3,521,668.00 "," $3,041,572.00 "," $3,206,010.00 "," $3,608,408.00 "," $4,136,056.00 "," $4,775,841.00 "," $4,716,460.00 "," $5,735,432.00 "," $6,165,344.00 "," $6,264,316.00 "," $5,910,365.00 "," $7,611,078.00 "," $7,859,038.00 "," $7,165,800.00 "," $8,105,607.00 "," $7,258,502.00 "," $7,183,289.00 "," $7,990,450.00 "," $8,849,034.00 "," $7,856,488.00 ","$10,546,436.00 "
 HOUSTON , N/A ," $2,046,013.00 "," $2,148,607.00 "," $2,263,911.00 "," $1,799,217.00 "," $1,816,750.00 "," $1,346,086.00 "," $1,355,484.00 "," $1,615,209.00 "," $2,103,484.00 "," $2,239,019.00 "," $2,512,676.00 "," $2,423,744.00 "," $2,459,451.00 "," $2,796,262.00 "," $2,967,239.00 "," $2,537,591.00 "," $2,720,143.00 "," $3,253,758.00 "," $3,807,611.00 "," $4,143,333.00 "," $4,529,065.00 "," $4,102,070.00 "," $4,296,504.00 "," $4,864,116.00 "," $4,988,609.00 "," $6,156,923.00 "," $6,251,640.00 "," $6,640,305.00 "," $6,866,468.00 "," $7,219,192.00 "," $7,681,826.00 "," $8,117,193.00 "," $8,296,080.00 "," $8,911,877.00 "," $9,903,271.00 "," $10,548,198.00 "," $10,888,287.00 "," $10,580,136.00 "," $11,811,170.00 "," $11,419,248.00 ","$12,265,343.00 "
 HOWARD ," $467,502.00 "," $611,406.00 "," $532,147.00 "," $990,524.00 "," $1,227,676.00 "," $1,290,499.00 "," $1,894,321.00 "," $2,677,650.00 "," $3,356,216.00 "," $3,206,316.00 "," $4,781,220.00 "," $2,809,576.00 "," $3,405,008.00 "," $4,097,251.00 "," $4,114,415.00 "," $3,792,169.00 "," $3,789,410.00 "," $4,004,317.00 "," $4,109,735.00 "," $3,612,691.00 "," $3,796,739.00 "," $4,484,996.00 "," $3,731,366.00 "," $3,702,791.00 "," $4,801,554.00 "," $6,489,108.00 "," $3,702,748.00 "," $3,676,804.00 "," $4,244,618.00 "," $4,291,759.00 "," $3,952,114.00 "," $3,885,992.00 "," $3,411,656.00 "," $3,543,513.00 "," $3,823,732.00 "," $4,073,010.00 "," $3,155,926.00 "," $3,888,007.00 "," $3,751,585.00 "," $4,736,435.00 "," $5,769,950.00 ","$4,445,835.00 "
" ILLINOIS, CHICAGO ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $3,113,754.00 "," $3,401,276.00 "," $3,735,050.00 "," $4,052,285.00 "," $3,670,611.00 "," $4,305,983.00 "," $4,162,242.00 "," $4,460,201.00 "," $5,248,983.00 "," $5,234,181.00 "," $4,797,246.00 "," $5,689,313.00 "," $6,545,146.00 "," $6,388,285.00 "," $6,809,191.00 "," $6,417,787.00 "," $7,337,590.00 "," $7,729,836.00 "," $8,166,623.00 "," $8,528,000.00 "," $9,128,496.00 "," $10,686,348.00 "," $8,210,441.00 "," $9,003,441.00 "," $9,165,961.00 "," $8,789,503.00 "," $8,053,918.00 ","$9,328,112.00 "
" ILLINOIS, URBANA "," $2,375,496.00 "," $2,465,176.00 "," $1,979,083.00 "," $2,819,459.00 "," $2,217,557.00 "," $2,759,245.00 "," $3,105,575.00 "," $3,158,596.00 "," $4,019,841.00 "," $3,522,005.00 "," $4,369,205.00 "," $4,724,114.00 "," $4,990,169.00 "," $4,699,094.00 "," $5,244,029.00 "," $5,649,902.00 "," $6,170,406.00 "," $6,142,131.00 "," $6,620,753.00 "," $6,746,032.00 "," $7,513,611.00 "," $7,575,449.00 "," $7,788,533.00 "," $8,054,952.00 "," $8,766,170.00 "," $9,446,551.00 "," $9,770,371.00 "," $11,538,295.00 "," $11,630,751.00 "," $11,979,981.00 "," $12,346,960.00 "," $13,053,827.00 "," $12,043,672.00 "," $14,530,720.00 "," $14,065,662.00 "," $14,529,554.00 "," $15,281,388.00 "," $16,520,549.00 "," $19,101,178.00 "," $19,036,256.00 "," $19,212,701.00 ","$19,534,520.00 "
 INDIANA ," $2,045,371.00 "," $2,296,583.00 "," $2,760,647.00 "," $2,742,460.00 "," $2,947,864.00 "," $3,714,979.00 "," $2,439,733.00 "," $2,799,242.00 "," $2,722,608.00 "," $3,165,486.00 "," $3,503,907.00 "," $3,515,523.00 "," $3,915,434.00 "," $4,277,556.00 "," $4,496,484.00 "," $5,330,118.00 "," $5,914,011.00 "," $6,268,715.00 "," $6,650,828.00 "," $7,141,489.00 "," $7,707,210.00 "," $8,532,640.00 "," $7,977,911.00 "," $8,653,325.00 "," $9,016,440.00 "," $9,160,705.00 "," $10,751,062.00 "," $10,465,359.00 "," $11,316,326.00 "," $12,520,640.00 "," $12,617,116.00 "," $12,674,170.00 "," $13,907,828.00 "," $13,222,486.00 "," $16,504,866.00 "," $14,794,891.00 "," $13,490,434.00 "," $14,240,833.00 "," $14,865,094.00 "," $15,171,091.00 "," $16,027,788.00 ","$17,410,242.00 "
 IOWA ," $1,089,565.00 "," $1,229,585.00 "," $1,609,841.00 "," $1,959,625.00 "," $2,057,256.00 "," $2,125,288.00 "," $2,308,660.00 "," $2,591,725.00 "," $2,794,902.00 "," $3,141,842.00 "," $3,079,409.00 "," $3,406,656.00 "," $3,920,605.00 "," $4,294,461.00 "," $4,327,897.00 "," $4,661,359.00 "," $4,894,520.00 "," $5,265,740.00 "," $5,112,011.00 "," $5,403,566.00 "," $5,678,249.00 "," $6,158,143.00 "," $6,345,483.00 "," $6,833,303.00 "," $7,686,253.00 "," $8,252,648.00 "," $9,032,563.00 "," $9,308,462.00 "," $10,139,631.00 "," $10,349,894.00 "," $11,033,545.00 "," $11,866,373.00 "," $12,546,477.00 "," $13,026,345.00 "," $13,590,872.00 "," $14,278,353.00 "," $15,060,052.00 "," $15,975,293.00 "," $17,023,555.00 "," $17,546,016.00 "," $18,603,258.00 ","$19,127,173.00 "
 IOWA STATE ," $1,010,379.00 "," $983,514.00 "," $1,116,992.00 "," $1,273,093.00 "," $1,400,931.00 "," $1,464,652.00 "," $1,588,707.00 "," $1,655,289.00 "," $1,944,711.00 "," $2,192,378.00 "," $2,427,101.00 "," $2,603,083.00 "," $2,407,902.00 "," $2,709,097.00 "," $2,687,645.00 "," $2,960,547.00 "," $3,276,724.00 "," $3,537,321.00 "," $3,837,230.00 "," $4,288,863.00 "," $4,343,507.00 "," $4,690,403.00 "," $5,042,111.00 "," $5,468,055.00 "," $5,976,594.00 "," $6,232,365.00 "," $6,744,281.00 "," $7,382,453.00 "," $7,870,484.00 "," $8,870,892.00 "," $8,150,668.00 "," $8,599,786.00 "," $8,891,487.00 "," $9,245,223.00 "," $9,359,327.00 "," $12,560,760.00 "," $9,078,625.00 "," $12,222,241.00 "," $11,405,344.00 "," $13,777,964.00 "," $13,756,647.00 ","$12,851,066.00 "
 JOHNS HOPKINS ," $974,709.00 "," $940,169.00 "," $1,110,104.00 "," $1,174,145.00 "," $1,234,078.00 "," $1,231,659.00 "," $1,520,972.00 "," $1,762,695.00 "," $1,988,897.00 "," $2,175,457.00 "," $2,268,077.00 "," $2,553,488.00 "," $270,756.00 "," $3,347,091.00 "," $4,032,527.00 "," $4,371,677.00 "," $4,621,623.00 "," $5,153,657.00 "," $5,716,366.00 "," $6,507,779.00 "," $6,691,673.00 "," $7,251,192.00 "," $7,655,416.00 "," $7,892,382.00 "," $8,594,920.00 "," $8,901,043.00 "," $9,762,095.00 "," $10,628,644.00 "," $10,853,538.00 "," $11,347,362.00 "," $12,295,966.00 "," $12,279,738.00 "," $13,638,688.00 "," $14,195,523.00 "," $14,824,216.00 "," $14,572,377.00 "," $14,568,011.00 "," $15,480,846.00 "," $16,967,516.00 "," $17,877,827.00 "," $18,496,385.00 ","$19,455,966.00 "
 JOINT UNIVERSITY ," $769,266.00 "," $965,818.00 "," $1,022,963.00 "," $1,024,146.00 "," $1,115,088.00 "," $1,196,879.00 ", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,N/A
 KANSAS ," $960,519.00 "," $1,034,000.00 "," $993,213.00 "," $1,430,622.00 "," $1,534,741.00 "," $1,718,395.00 "," $1,893,941.00 "," $2,268,756.00 "," $2,603,008.00 "," $2,773,122.00 "," $2,833,007.00 "," $3,132,388.00 "," $3,284,242.00 "," $3,534,667.00 "," $3,739,089.00 "," $3,757,965.00 "," $4,600,883.00 "," $4,540,829.00 "," $4,649,804.00 "," $5,194,336.00 "," $5,250,698.00 "," $5,135,253.00 "," $5,256,347.00 "," $5,913,712.00 "," $5,948,806.00 "," $6,365,230.00 "," $6,317,402.00 "," $6,868,344.00 "," $7,276,400.00 "," $7,707,396.00 "," $7,702,433.00 "," $8,333,205.00 "," $8,053,844.00 "," $8,602,406.00 "," $9,581,850.00 "," $9,621,889.00 "," $9,536,565.00 "," $9,347,959.00 "," $10,172,505.00 "," $9,504,912.00 "," $10,131,719.00 ","$10,109,543.00 "
 KENT STATE ," $493,468.00 "," $494,110.00 "," $544,424.00 "," $639,564.00 "," $543,812.00 "," $635,784.00 "," $850,669.00 "," $820,679.00 "," $970,715.00 "," $850,914.00 "," $825,629.00 "," $1,183,869.00 "," $1,274,739.00 "," $1,283,696.00 "," $1,753,464.00 "," $1,995,219.00 "," $2,256,304.00 "," $2,422,414.00 "," $2,519,578.00 "," $2,551,403.00 "," $2,640,219.00 "," $2,464,487.00 "," $2,864,561.00 "," $2,901,375.00 "," $2,904,859.00 "," $2,891,150.00 "," $3,138,641.00 "," $3,390,164.00 "," $3,219,230.00 "," $3,780,582.00 "," $3,899,410.00 "," $3,432,288.00 "," $3,603,707.00 "," $3,874,159.00 "," $4,042,951.00 "," $4,203,944.00 "," $4,403,740.00 "," $5,227,103.00 "," $5,213,034.00 "," $5,478,018.00 "," $5,381,081.00 ","$5,783,934.00 "
 KENTUCKY ," $1,032,308.00 "," $950,418.00 "," $1,199,682.00 "," $1,368,491.00 "," $1,468,371.00 "," $1,476,197.00 "," $1,591,131.00 "," $1,773,131.00 "," $2,058,863.00 "," $2,300,841.00 "," $2,167,235.00 "," $2,436,446.00 "," $2,573,297.00 "," $2,940,701.00 "," $2,842,713.00 "," $3,103,188.00 "," $3,435,868.00 "," $3,589,769.00 "," $4,163,617.00 "," $4,058,620.00 "," $4,138,895.00 "," $4,664,007.00 "," $4,892,045.00 "," $5,496,470.00 "," $5,893,693.00 "," $6,393,490.00 "," $7,695,091.00 "," $7,872,252.00 "," $9,858,593.00 "," $9,444,910.00 "," $9,410,620.00 "," $9,413,427.00 "," $9,463,513.00 "," $10,075,915.00 "," $10,416,077.00 "," $10,769,278.00 "," $10,936,239.00 "," $10,982,831.00 "," $11,096,998.00 "," $10,465,163.00 "," $10,976,643.00 ","$10,314,130.00 "
 LAVAL , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $1,723,580.00 "," $2,150,370.00 "," $2,248,717.00 "," $2,530,583.00 "," $2,549,129.00 "," $2,805,143.00 "," $3,050,228.00 "," $3,579,643.00 "," $4,036,078.00 "," $3,901,055.00 "," $3,971,954.00 "," $4,671,430.00 "," $4,690,857.00 "," $4,663,873.00 "," $3,642,504.00 "," $4,129,165.00 "," $4,222,750.00 "," $4,595,007.00 "," $5,115,343.00 "," $6,754,783.00 "," $7,803,045.00 "," $8,801,409.41 "," $9,224,401.66 "," $10,374,865.85 "," $9,632,798.49 "," $11,252,948.09 "," $10,931,743.56 "," $12,343,585.73 "," $12,630,525.58 "," $11,952,746.12 ","$10,762,133.91 "
 LIB & ARCHIVES CANADA , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $1,616,826.90 "," $1,408,933.14 "," $1,805,837.05 "," $1,300,371.99 "," $882,903.56 "," $470,725.98 "," $113,000.00 "," $122,000.00 ", N/A ,N/A
 LIBRARY OF CONGRESS , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $13,081,132.00 "," $17,398,114.00 "," $18,660,838.00 "," $19,376,303.00 "," $21,693,550.00 "," $28,392,920.00 "," $23,754,874.00 "," $20,497,843.00 "," $24,539,936.00 ","$24,396,746.00 "
 LOUISIANA STATE ," $974,534.00 "," $831,115.00 "," $1,230,339.00 "," $1,312,720.00 "," $1,079,054.00 "," $1,526,627.00 "," $1,710,349.00 "," $2,523,571.00 "," $2,968,631.00 "," $3,309,250.00 "," $2,887,651.00 "," $3,128,755.00 "," $3,385,282.00 "," $3,493,493.00 "," $3,369,896.00 "," $3,307,614.00 "," $3,348,948.00 "," $3,303,072.00 "," $4,777,216.00 "," $3,152,470.00 "," $2,978,662.00 "," $3,094,789.00 "," $3,358,379.00 "," $3,567,746.00 "," $4,149,699.00 "," $4,274,287.00 "," $4,802,767.00 "," $5,249,948.00 "," $5,624,544.00 "," $5,433,473.00 "," $6,045,008.00 "," $6,932,439.00 "," $6,675,849.00 "," $7,608,658.00 "," $7,386,879.00 "," $6,323,242.00 "," $5,682,352.00 "," $7,477,372.00 "," $6,573,126.00 "," $7,694,983.00 "," $7,208,499.00 ","$8,737,827.00 "
 LOUISVILLE , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $8,099,431.00 "," $8,661,842.00 "," $8,629,275.00 "," $8,641,096.00 "," $9,156,974.00 "," $6,332,778.00 "," $9,206,025.00 "," $9,487,675.00 "," $9,467,444.00 "," $9,952,478.00 "," $9,327,168.00 "," $9,671,768.00 "," $9,924,829.00 ","$9,888,306.00 "
 MANITOBA , N/A , N/A , N/A , N/A , N/A , N/A , N/A ," $1,251,021.00 "," $1,291,677.00 "," $1,687,732.00 "," $1,698,117.00 "," $1,758,701.00 "," $1,947,032.00 "," $1,711,961.00 "," $1,984,813.00 "," $2,363,230.00 "," $2,494,422.00 "," $2,599,320.00 "," $2,859,245.00 "," $2,748,698.00 "," $2,751,575.00 "," $2,583,184.00 "," $2,575,068.00 "," $2,884,362.00 "," $3,074,923.00 "," $3,365,829.00 "," $3,504,019.00 "," $3,480,642.00 "," $3,997,457.00 "," $4,834,156.00 "," $6,105,767.00 "," $6,363,752.00 "," $6,758,909.62 "," $7,181,951.78 "," $8,330,789.03 "," $7,756,008.40 "," $8,405,158.20 "," $9,652,869.98 "," $10,558,852.25 "," $10,562,008.76 "," $9,405,557.63 ","$8,561,972.06 "
 MARYLAND ," $2,099,513.00 "," $1,496,059.00 "," $1,674,347.00 "," $1,244,622.00 "," $1,475,666.00 "," $1,658,643.00 "," $1,801,112.00 "," $1,965,580.00 "," $2,199,359.00 "," $2,287,994.00 "," $2,446,071.00 "," $2,944,272.00 "," $3,297,790.00 "," $3,365,992.00 "," $4,030,549.00 "," $3,751,115.00 "," $4,422,342.00 "," $4,879,524.00 "," $4,145,947.00 "," $4,518,326.00 "," $4,495,534.00 "," $4,316,250.00 "," $5,333,350.00 "," $4,724,668.00 "," $5,839,425.00 "," $6,531,857.00 "," $6,848,718.00 "," $7,008,763.00 "," $7,989,002.00 "," $6,475,014.00 "," $7,095,869.00 "," $8,415,165.00 "," $8,698,140.00 "," $9,401,463.00 "," $10,097,607.00 "," $9,499,471.76 "," $10,677,197.00 "," $11,944,076.00 "," $12,206,049.00 "," $11,495,359.00 "," $11,400,148.00 ","$12,157,586.00 "
 MASSACHUSETTS ," $946,847.00 "," $808,268.00 "," $914,822.00 "," $939,782.00 "," $811,554.00 "," $1,030,813.00 "," $1,279,489.00 "," $1,293,518.00 "," $1,501,324.00 "," $1,702,717.00 "," $1,618,871.00 "," $1,810,616.00 "," $2,157,163.00 "," $4,779,522.00 "," $3,906,181.00 "," $3,000,978.00 "," $2,407,849.00 "," $2,511,215.00 "," $2,167,349.00 "," $3,519,604.00 "," $3,327,015.00 "," $3,686,380.00 "," $4,108,093.00 "," $4,434,055.00 "," $4,269,080.00 "," $4,541,415.00 "," $5,261,093.00 "," $5,264,945.00 "," $3,773,979.00 "," $5,355,780.00 "," $4,960,225.00 "," $5,278,206.00 "," $5,579,248.00 "," $5,854,922.00 "," $6,545,019.00 "," $6,417,445.00 "," $6,066,496.00 "," $6,439,539.00 "," $6,900,944.00 "," $6,979,363.00 "," $7,571,461.00 ","$7,808,596.00 "
 MCGILL ," $1,224,891.00 "," $882,938.00 "," $1,223,382.00 "," $1,316,105.00 "," $1,559,163.00 "," $1,688,313.00 "," $1,505,851.00 "," $1,583,709.00 "," $1,684,986.00 "," $1,852,889.00 "," $2,115,875.00 "," $2,449,701.00 "," $2,674,644.00 "," $3,307,089.00 "," $3,973,884.00 "," $4,055,366.00 "," $4,086,225.00 "," $4,199,021.00 "," $4,509,401.00 "," $4,042,699.00 "," $4,130,179.00 "," $4,152,638.00 "," $4,826,580.00 "," $4,872,366.00 "," $5,587,968.00 "," $5,828,240.00 "," $5,927,272.00 "," $6,564,613.00 "," $7,976,405.00 "," $10,593,109.00 "," $10,377,429.00 "," $11,376,632.00 "," $11,549,853.81 "," $12,172,462.24 "," $16,085,628.16 "," $12,989,454.87 "," $13,823,891.63 "," $15,679,956.06 "," $17,687,522.17 "," $15,991,792.75 "," $16,657,221.18 ","$16,058,734.99 "
 MCMASTER , N/A , N/A ," $1,172,640.00 "," $1,291,816.00 "," $1,513,353.00 "," $1,850,601.00 "," $1,700,227.00 "," $1,860,823.00 "," $1,992,497.00 "," $2,153,238.00 "," $2,351,990.00 "," $2,556,493.00 "," $2,457,167.00 "," $2,603,995.00 "," $3,149,104.00 "," $3,614,992.00 "," $3,923,573.00 "," $4,064,344.00 "," $4,041,262.00 "," $3,689,264.00 "," $3,482,962.00 "," $3,426,876.00 "," $3,561,900.00 "," $3,352,864.00 "," $3,507,054.00 "," $3,650,489.00 "," $3,845,695.00 "," $4,259,614.00 "," $4,560,045.00 "," $4,732,300.00 "," $5,515,896.00 "," $5,984,915.00 "," $6,829,226.93 "," $7,019,014.40 "," $8,261,937.43 "," $7,981,505.10 "," $8,551,365.10 "," $8,963,643.90 "," $9,204,604.96 "," $9,851,859.45 "," $9,111,792.45 ","$8,880,860.38 "
