,1970s: Full data?,1980s: Full data?,1990s: Full data?,2000s: Full data?,2010s: Full data?,1970s,1980s,1990s,2000s,2010s,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-2000,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
 LAVAL ,0,0,1,1,1,N/A,N/A,4.3%,10.6%,2.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.8%,4.6%,12.5%,0.7%,10.0%,8.7%,17.4%,12.8%,-3.3%,1.8%,17.6%,0.4%,-0.6%,-21.9%,13.4%,2.3%,8.8%,11.3%,32.0%,15.5%,12.8%,4.8%,12.5%,-7.2%,16.8%,-2.9%,12.9%,2.3%,-5.4%,-10.0%
 LIB & ARCHIVES CANADA ,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-12.9%,28.2%,-28.0%,-32.1%,-46.7%,-76.0%,8.0%,N/A,N/A
 LIBRARY OF CONGRESS ,0,0,0,0,1,N/A,N/A,N/A,N/A,5.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.0%,7.3%,3.8%,12.0%,30.9%,-16.3%,-13.7%,19.7%,-0.6%
 LOUISIANA STATE ,1,1,1,1,1,12.7%,9.0%,4.3%,4.4%,6.9%,-14.7%,48.0%,6.7%,-17.8%,41.5%,12.0%,47.5%,17.6%,11.5%,-12.7%,8.3%,8.2%,3.2%,-3.5%,-1.8%,1.2%,-1.4%,44.6%,-34.0%,-5.5%,3.9%,8.5%,6.2%,16.3%,3.0%,12.4%,9.3%,7.1%,-3.4%,11.3%,14.7%,-3.7%,14.0%,-2.9%,-14.4%,-10.1%,31.6%,-12.1%,17.1%,-6.3%,21.2%
 LOUISVILLE ,0,0,0,0,1,N/A,N/A,N/A,N/A,0.8%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.9%,-0.4%,0.1%,6.0%,-30.8%,45.4%,3.1%,-0.2%,5.1%,-6.3%,3.7%,2.6%,-0.4%
 MANITOBA ,0,0,1,1,1,N/A,N/A,3.8%,9.1%,2.1%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.2%,30.7%,0.6%,3.6%,10.7%,-12.1%,15.9%,19.1%,5.6%,4.2%,10.0%,-3.9%,0.1%,-6.1%,-0.3%,12.0%,6.6%,9.5%,4.1%,-0.7%,14.8%,20.9%,26.3%,4.2%,6.2%,6.3%,16.0%,-6.9%,8.4%,14.8%,9.4%,0.0%,-10.9%,-9.0%
 MARYLAND ,1,1,1,1,1,-2.3%,8.8%,6.5%,4.3%,4.4%,-28.7%,11.9%,-25.7%,18.6%,12.4%,8.6%,9.1%,11.9%,4.0%,6.9%,20.4%,12.0%,2.1%,19.7%,-6.9%,17.9%,10.3%,-15.0%,9.0%,-0.5%,-4.0%,23.6%,-11.4%,23.6%,11.9%,4.9%,2.3%,14.0%,-19.0%,9.6%,18.6%,3.4%,8.1%,7.4%,-5.9%,12.4%,11.9%,2.2%,-5.8%,-0.8%,6.6%
 MASSACHUSETTS ,1,1,1,1,1,2.9%,16.1%,6.1%,4.9%,3.4%,-14.6%,13.2%,2.7%,-13.6%,27.0%,24.1%,1.1%,16.1%,13.4%,-4.9%,11.8%,19.1%,121.6%,-18.3%,-23.2%,-19.8%,4.3%,-13.7%,62.4%,-5.5%,10.8%,11.4%,7.9%,-3.7%,6.4%,15.8%,0.1%,-28.3%,41.9%,-7.4%,6.4%,5.7%,4.9%,11.8%,-1.9%,-5.5%,6.1%,7.2%,1.1%,8.5%,3.1%
 MCGILL ,1,1,1,1,1,9.0%,9.6%,3.9%,9.4%,3.9%,-27.9%,38.6%,7.6%,18.5%,8.3%,-10.8%,5.2%,6.4%,10.0%,14.2%,15.8%,9.2%,23.6%,20.2%,2.1%,0.8%,2.8%,7.4%,-10.3%,2.2%,0.5%,16.2%,0.9%,14.7%,4.3%,1.7%,10.8%,21.5%,32.8%,-2.0%,9.6%,1.5%,5.4%,32.1%,-19.2%,6.4%,13.4%,12.8%,-9.6%,4.2%,-3.6%
 MCMASTER ,0,1,1,1,1,N/A,7.2%,0.2%,8.3%,1.9%,N/A,N/A,10.2%,17.1%,22.3%,-8.1%,9.4%,7.1%,8.1%,9.2%,8.7%,-3.9%,6.0%,20.9%,14.8%,8.5%,3.6%,-0.6%,-8.7%,-5.6%,-1.6%,3.9%,-5.9%,4.6%,4.1%,5.3%,10.8%,7.1%,3.8%,16.6%,8.5%,14.1%,2.8%,17.7%,-3.4%,7.1%,4.8%,2.7%,7.0%,-7.5%,-2.5%
 MIAMI ,0,1,1,1,1,N/A,11.5%,5.9%,9.1%,0.1%,N/A,N/A,12.8%,14.2%,20.6%,19.7%,16.6%,-1.8%,20.6%,0.2%,11.6%,6.4%,19.7%,14.4%,7.3%,2.4%,9.8%,16.3%,11.7%,1.7%,0.0%,7.0%,12.0%,-3.4%,1.1%,14.5%,6.4%,5.8%,20.2%,12.7%,4.0%,13.0%,15.0%,-4.4%,3.6%,-0.7%,-6.9%,2.3%,2.7%,-0.1%,3.6%
 MICHIGAN ,1,1,1,1,1,7.6%,11.3%,8.4%,3.7%,2.7%,4.2%,14.3%,13.9%,-8.8%,14.3%,25.9%,18.2%,-2.3%,16.1%,-2.1%,13.3%,15.3%,22.7%,2.1%,3.5%,11.8%,10.8%,4.3%,9.0%,6.9%,7.1%,10.0%,10.5%,2.7%,10.5%,4.1%,8.2%,2.6%,5.6%,-2.3%,8.1%,1.8%,-0.7%,0.0%,9.9%,1.9%,7.6%,-2.0%,1.9%,3.0%,3.5%
 MICHIGAN STATE ,1,1,1,1,1,6.0%,8.3%,5.6%,6.7%,6.7%,-10.3%,1.9%,17.4%,12.2%,8.6%,4.6%,6.3%,24.3%,-0.7%,6.7%,10.3%,12.0%,12.2%,2.0%,5.5%,6.0%,10.7%,-1.5%,11.0%,0.6%,8.3%,9.1%,2.1%,3.7%,5.7%,12.2%,1.6%,7.8%,8.9%,6.1%,8.1%,4.9%,6.2%,6.7%,4.5%,13.9%,7.3%,4.3%,5.6%,2.9%,6.4%
 MINNESOTA ,1,1,1,1,1,3.5%,10.8%,6.5%,5.6%,1.6%,-8.1%,14.3%,-16.8%,21.1%,6.9%,12.0%,10.2%,9.3%,24.2%,6.1%,-2.5%,25.7%,1.5%,16.8%,4.8%,18.3%,20.6%,-14.1%,17.9%,0.2%,4.8%,4.0%,8.2%,-1.9%,6.6%,4.3%,-4.5%,5.0%,4.2%,9.1%,6.3%,12.7%,10.9%,5.6%,2.5%,0.1%,-1.4%,4.7%,2.4%,0.0%,3.9%
 MISSOURI ,1,1,1,1,1,4.3%,11.4%,8.4%,4.7%,2.3%,-13.3%,15.4%,-3.6%,16.5%,6.4%,20.4%,-3.3%,14.6%,9.0%,-0.3%,5.5%,100.3%,-46.8%,8.6%,6.1%,13.6%,17.2%,6.6%,1.8%,-1.1%,19.8%,13.6%,-8.1%,2.0%,18.1%,2.7%,-10.3%,19.6%,4.4%,-7.9%,-3.0%,10.8%,29.8%,1.5%,-0.7%,15.3%,-26.3%,6.0%,36.2%,-16.5%,-0.6%
 MIT ,1,1,1,1,1,6.5%,10.1%,7.3%,5.9%,2.9%,-1.2%,2.7%,9.3%,8.1%,13.8%,16.1%,9.6%,19.6%,5.9%,2.5%,4.4%,25.0%,9.0%,8.5%,0.6%,-0.3%,23.4%,1.7%,4.8%,5.4%,5.2%,-7.0%,23.4%,-7.1%,23.5%,-2.4%,7.4%,11.9%,9.7%,4.5%,3.1%,11.4%,3.4%,8.0%,1.9%,-0.6%,-7.4%,11.1%,1.7%,4.9%,7.4%
 MONTREAL ,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.2%,4.5%,25.5%,13.1%,8.9%,1.7%,7.2%,8.4%,-3.6%,0.1%,22.1%,-18.9%,6.8%,N/A
 NATL AGRICULTURAL LIB ,0,0,0,0,1,N/A,N/A,N/A,N/A,5.3%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-11.7%,-17.0%,9.0%,18.5%,-3.2%,-13.1%,6.3%,25.1%,-2.0%
 NATL ARCHIVES ,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.3%
 NATL LIB OF MEDICINE ,0,0,0,0,1,N/A,N/A,N/A,N/A,109.6%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.4%,6.4%,4.1%,19.1%,-6.3%,8.4%,2.5%,-72.9%,706.6%
 NATL RES COUNCIL CANADA ,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-10.2%,9.3%,N/A,N/A,N/A,8.4%,N/A,N/A,N/A
 NEBRASKA ,1,1,1,1,1,12.1%,8.4%,6.4%,2.3%,5.6%,5.1%,27.1%,16.8%,12.7%,-1.0%,8.3%,5.1%,8.5%,-2.5%,2.8%,46.4%,-1.0%,14.6%,-9.0%,11.0%,-1.2%,21.5%,4.5%,1.6%,4.2%,0.5%,24.9%,6.1%,-1.5%,3.7%,1.4%,11.3%,-8.5%,5.0%,-0.6%,14.1%,6.6%,-11.2%,13.1%,-8.3%,5.2%,12.3%,10.4%,-5.2%,7.9%,3.0%
 NEW MEXICO ,0,1,1,1,1,N/A,14.1%,4.6%,5.5%,4.9%,N/A,N/A,N/A,N/A,N/A,4.0%,4.1%,12.2%,4.1%,12.5%,37.2%,22.5%,-21.5%,-3.3%,69.1%,5.0%,7.8%,-18.3%,32.4%,1.6%,-1.8%,7.7%,2.2%,6.0%,3.0%,18.6%,4.3%,-10.3%,5.4%,-1.6%,-0.9%,-8.8%,33.5%,22.5%,-7.9%,-10.4%,-0.5%,12.6%,-3.4%,20.6%,10.4%
 NEW YORK ,1,1,1,1,1,7.4%,12.8%,7.0%,6.3%,8.1%,-8.3%,6.6%,21.5%,6.8%,10.3%,8.8%,15.3%,46.9%,-14.8%,16.2%,11.5%,2.9%,13.9%,8.8%,18.4%,-3.3%,26.7%,-5.4%,7.3%,6.8%,5.5%,0.6%,13.1%,7.6%,11.0%,0.8%,10.0%,10.2%,5.2%,0.8%,13.4%,11.7%,1.6%,0.6%,8.6%,14.2%,6.6%,6.5%,12.9%,4.0%,4.3%
 NEW YORK PUBLIC ,0,0,0,0,1,N/A,N/A,N/A,N/A,-0.2%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.9%,7.9%,-16.9%,-14.7%,6.6%,-5.0%,-2.0%,19.0%,-5.0%
 NEW YORK STATE ,0,0,0,0,1,N/A,N/A,N/A,N/A,-6.4%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.9%,8.0%,-19.5%,0.1%,-34.2%,10.4%,-12.0%,-2.7%,0.0%
 NORTH CAROLINA ,1,1,1,1,1,15.9%,7.3%,7.7%,5.0%,1.3%,12.2%,13.0%,18.4%,16.6%,19.1%,13.5%,3.0%,21.0%,-2.3%,11.7%,9.8%,4.9%,7.3%,1.9%,2.0%,-4.7%,11.9%,8.6%,19.2%,9.1%,1.9%,13.5%,10.1%,-5.5%,12.6%,-4.8%,8.0%,8.7%,-3.1%,9.3%,6.9%,10.0%,3.6%,12.2%,-0.9%,5.0%,-9.6%,0.1%,17.7%,-14.0%,8.8%
 NORTH CAROLINA STATE ,0,0,1,1,1,N/A,N/A,10.6%,2.6%,3.9%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.9%,10.4%,10.0%,10.0%,3.4%,-4.5%,7.0%,3.5%,7.5%,23.2%,9.0%,1.2%,21.6%,21.7%,-0.6%,11.5%,1.3%,1.4%,-1.1%,18.4%,5.4%,-8.6%,1.5%,1.0%,7.9%,-1.4%,1.1%,14.6%,-2.9%,1.9%,-3.7%,12.2%
 NORTHWESTERN ,1,1,1,1,1,3.5%,-2.0%,121.9%,-3.7%,2.6%,8.8%,-8.1%,-1.0%,-3.2%,20.7%,25.0%,8.4%,0.3%,10.3%,4.3%,14.1%,16.1%,-11.6%,13.4%,-100.0%,N/A,6.2%,7.2%,7.1%,2.7%,6.6%,10.0%,7.8%,0.9%,1048.5%,-89.6%,13.0%,6.3%,6.6%,4.5%,2.7%,5.5%,6.1%,5.3%,2.2%,-1.9%,3.0%,3.2%,2.0%,6.3%,3.3%
 NOTRE DAME ,1,1,1,1,1,14.1%,11.2%,9.1%,5.7%,1.6%,8.9%,-8.6%,22.1%,8.9%,38.9%,12.7%,7.3%,1.5%,11.0%,-0.8%,34.6%,12.3%,16.7%,6.8%,9.4%,12.8%,9.4%,5.4%,-3.1%,14.3%,6.3%,32.1%,7.0%,-2.3%,9.1%,16.6%,7.2%,0.7%,0.2%,-2.4%,2.4%,10.1%,10.0%,10.6%,1.1%,0.9%,5.3%,9.0%,0.2%,-1.9%,-3.7%
 OHIO ,0,0,0,1,1,N/A,N/A,N/A,2.5%,0.2%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.2%,12.9%,4.1%,1.9%,8.1%,3.8%,-4.2%,13.6%,0.2%,-1.2%,0.1%,5.8%,-3.1%,-3.3%,1.1%,1.5%,-1.3%,-6.7%,10.0%
 OHIO STATE ,1,1,1,1,1,3.0%,13.2%,7.9%,7.8%,6.6%,-3.8%,-3.1%,19.2%,1.5%,1.3%,55.8%,-14.9%,23.9%,44.8%,4.6%,5.1%,-10.9%,23.2%,1.7%,-1.4%,6.5%,9.4%,6.3%,6.4%,4.2%,10.7%,7.7%,8.9%,6.6%,12.7%,-38.6%,105.8%,-12.0%,3.8%,5.8%,-29.6%,37.5%,-6.2%,15.1%,-3.9%,-5.6%,19.5%,6.4%,7.0%,16.6%,-4.2%
 OKLAHOMA ,1,1,1,1,1,12.1%,10.7%,7.8%,9.6%,-0.3%,25.6%,22.0%,-9.0%,16.1%,5.6%,44.8%,13.4%,1.7%,5.7%,-3.7%,2.1%,17.6%,5.7%,14.9%,4.4%,9.1%,0.5%,21.8%,-1.4%,1.2%,4.4%,4.7%,13.5%,13.1%,11.1%,8.2%,18.9%,16.9%,-1.9%,20.1%,8.4%,7.5%,7.0%,8.6%,2.3%,-3.2%,1.7%,1.5%,-6.3%,6.0%,-1.2%
 OKLAHOMA STATE ,1,1,1,1,1,6.0%,16.3%,6.9%,5.3%,4.4%,-7.2%,39.8%,12.2%,-17.9%,2.8%,16.6%,41.8%,21.9%,19.1%,-21.0%,38.0%,-9.7%,5.9%,34.8%,15.7%,-15.7%,19.0%,-1.7%,-2.0%,14.6%,38.4%,-7.7%,-6.8%,26.4%,4.9%,9.8%,-4.2%,11.1%,-7.2%,32.1%,8.4%,1.4%,-1.0%,1.9%,1.0%,2.3%,9.5%,4.4%,2.7%,6.9%,0.4%
 OREGON ,1,1,1,1,1,15.8%,8.7%,5.8%,2.2%,4.6%,-5.0%,21.5%,14.6%,11.5%,36.6%,-9.9%,2.4%,35.5%,17.8%,9.1%,4.1%,10.4%,1.4%,13.3%,3.1%,15.0%,4.3%,5.4%,4.7%,12.6%,0.8%,6.6%,-2.0%,8.8%,1.9%,7.9%,-1.2%,4.1%,-2.2%,-2.0%,-4.8%,-3.7%,19.9%,9.1%,-4.9%,-3.8%,3.3%,4.1%,3.4%,9.0%,11.5%
 OTTAWA ,0,0,0,0,1,N/A,N/A,N/A,N/A,3.2%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.2%,-1.1%,18.1%,-10.7%,-7.5%
 PENNSYLVANIA ,1,1,1,1,1,2.5%,11.6%,8.6%,4.6%,3.9%,-13.2%,4.8%,8.0%,-0.6%,13.3%,20.3%,15.9%,-6.6%,10.1%,18.6%,0.4%,23.7%,5.5%,21.0%,7.7%,4.8%,18.2%,8.3%,12.3%,7.4%,5.4%,10.1%,6.5%,7.3%,6.1%,6.0%,7.7%,4.8%,4.4%,5.2%,2.5%,5.0%,4.9%,5.1%,0.4%,2.1%,3.3%,3.3%,5.0%,5.6%,4.3%
 PENNSYLVANIA STATE ,1,1,1,1,1,-1.3%,11.5%,9.1%,3.9%,1.7%,-16.2%,0.0%,4.4%,7.9%,-2.4%,18.1%,6.3%,11.7%,8.9%,12.9%,8.4%,6.6%,8.7%,18.2%,15.0%,10.5%,6.1%,7.8%,1.5%,9.9%,1.1%,3.1%,26.7%,14.7%,9.2%,2.0%,3.4%,8.5%,5.4%,-2.3%,16.8%,2.9%,1.2%,-2.6%,3.7%,-2.9%,2.1%,9.7%,1.4%,-0.5%,0.7%
 PITTSBURGH ,1,1,1,1,1,6.0%,10.6%,7.1%,5.8%,2.9%,3.2%,8.0%,14.4%,-4.1%,8.2%,-2.0%,12.7%,12.7%,12.0%,3.5%,6.6%,9.0%,19.4%,10.4%,21.7%,10.1%,9.0%,11.4%,1.3%,18.2%,7.4%,3.7%,-3.2%,2.0%,11.2%,17.8%,10.3%,3.3%,4.1%,1.7%,11.5%,4.3%,5.9%,2.9%,-4.4%,9.8%,-8.0%,1.5%,6.7%,6.9%,0.6%
 PRINCETON ,1,1,1,1,1,6.7%,9.0%,7.8%,7.7%,3.3%,0.7%,9.5%,-10.4%,22.7%,11.2%,17.7%,2.3%,9.4%,9.4%,4.0%,7.9%,15.4%,15.4%,15.1%,-6.3%,14.4%,9.1%,7.8%,8.7%,2.8%,13.5%,12.1%,-6.2%,10.9%,4.5%,-6.9%,12.7%,6.0%,8.9%,7.0%,3.4%,17.7%,10.0%,15.0%,3.5%,5.6%,1.5%,0.4%,2.2%,7.1%,3.2%
 PURDUE ,1,1,1,1,1,5.2%,9.1%,4.4%,9.5%,4.3%,-4.5%,5.7%,6.5%,3.2%,15.1%,14.3%,7.6%,8.3%,0.5%,7.3%,10.7%,9.6%,16.2%,11.7%,4.7%,4.6%,15.1%,4.4%,1.4%,-0.2%,6.9%,14.3%,5.5%,-10.0%,1.8%,12.3%,7.5%,5.6%,13.2%,6.6%,31.5%,15.0%,-8.2%,5.0%,6.1%,0.2%,2.1%,8.0%,6.8%,1.4%,7.5%
 QUEEN'S ,0,1,1,1,1,N/A,11.5%,3.5%,7.4%,2.0%,N/A,N/A,-12.7%,4.9%,9.8%,19.0%,2.4%,8.0%,16.7%,10.2%,2.8%,7.1%,13.5%,45.0%,-9.4%,11.1%,5.9%,6.9%,-8.1%,-6.0%,5.9%,8.4%,-5.5%,2.4%,14.0%,0.3%,-3.3%,17.1%,19.4%,17.4%,-0.8%,16.5%,7.9%,12.2%,-12.7%,10.1%,6.6%,1.5%,2.5%,-12.3%,3.4%
 RICE ,1,1,1,1,1,9.4%,11.2%,11.2%,4.8%,2.3%,3.1%,12.2%,11.0%,4.8%,16.1%,31.2%,13.5%,9.7%,8.6%,2.3%,6.7%,12.6%,9.7%,8.1%,9.5%,-4.2%,21.4%,18.9%,3.0%,14.9%,15.7%,3.2%,18.1%,9.9%,11.1%,-1.3%,9.2%,19.8%,-4.8%,-5.6%,12.6%,10.0%,1.3%,12.5%,-6.0%,-4.3%,-0.9%,0.4%,2.6%,-2.8%,18.8%
 ROCHESTER ,1,1,1,1,1,6.7%,11.6%,3.9%,5.8%,4.4%,-13.5%,18.1%,4.2%,10.0%,14.7%,5.6%,12.5%,-22.9%,56.2%,7.7%,9.3%,11.4%,28.2%,12.2%,-4.2%,10.0%,1.0%,1.9%,5.0%,2.9%,0.2%,3.8%,3.0%,5.9%,5.1%,-3.5%,-3.2%,17.1%,9.1%,5.8%,6.7%,4.6%,6.7%,9.0%,5.9%,3.0%,3.6%,-0.9%,11.6%,2.0%,7.5%
 RUTGERS ,1,1,1,1,1,4.3%,11.3%,1.2%,4.0%,2.6%,-8.6%,-11.2%,11.8%,16.8%,12.5%,-6.3%,-13.7%,12.4%,3.8%,19.3%,9.9%,20.7%,1.2%,56.1%,9.2%,-1.0%,-3.1%,0.8%,7.6%,-6.0%,1.0%,4.3%,3.5%,2.7%,2.3%,8.8%,10.9%,-2.3%,7.4%,1.4%,-0.2%,5.8%,-5.1%,3.8%,9.8%,-8.4%,2.1%,2.0%,8.2%,19.1%,-7.7%
 SASKATCHEWAN ,0,1,1,1,1,N/A,9.8%,2.9%,13.5%,3.9%,N/A,N/A,N/A,N/A,N/A,N/A,11.0%,-2.1%,23.6%,1.3%,-1.6%,15.9%,7.5%,18.6%,14.1%,7.5%,12.4%,17.4%,-14.2%,-6.6%,3.3%,22.8%,-1.5%,-8.4%,-3.9%,0.1%,17.6%,-13.0%,15.4%,30.9%,14.1%,21.6%,74.8%,-34.1%,7.4%,-1.8%,12.9%,7.9%,23.7%,-17.6%,-1.7%
 SMITHSONIAN ,0,0,0,0,1,N/A,N/A,N/A,N/A,7.9%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-33.5%,13.8%,-1.1%,3.4%,4.8%,25.4%,0.1%,5.3%,8.6%
 SOUTH CAROLINA ,0,1,1,1,1,N/A,7.3%,7.2%,3.6%,2.8%,N/A,-20.2%,28.2%,5.0%,8.5%,0.4%,13.7%,-0.3%,-9.1%,18.8%,11.1%,1.7%,6.6%,15.4%,15.0%,6.6%,1.3%,11.0%,1.9%,5.2%,4.2%,18.9%,3.3%,14.2%,5.7%,4.6%,6.6%,-6.7%,-3.0%,13.9%,-5.6%,11.0%,4.8%,8.8%,1.2%,9.1%,-3.7%,0.1%,5.1%,-0.7%,6.8%
 SOUTHERN CALIFORNIA ,1,1,1,1,1,15.0%,8.9%,7.2%,10.4%,2.7%,-0.5%,13.6%,16.7%,28.7%,16.4%,6.4%,11.1%,12.9%,11.7%,3.7%,2.3%,11.6%,11.9%,27.6%,-10.1%,9.9%,11.9%,-5.3%,5.8%,17.2%,5.6%,6.4%,7.1%,3.5%,9.4%,11.8%,5.0%,1.1%,20.2%,-27.0%,34.8%,9.3%,-29.6%,22.0%,55.9%,10.2%,5.0%,5.4%,2.1%,3.7%,-10.4%
 SOUTHERN ILLINOIS ,1,1,1,1,1,182.2%,5.8%,6.9%,3.7%,-0.8%,14.5%,-4.5%,973.4%,-88.7%,15.9%,0.2%,8.9%,6.1%,-6.1%,8.1%,5.8%,10.1%,30.2%,-15.7%,10.1%,16.8%,-0.9%,2.6%,6.0%,9.2%,7.8%,20.3%,-4.6%,3.8%,8.0%,13.8%,12.9%,0.5%,0.5%,4.7%,1.8%,0.6%,0.1%,-1.3%,3.4%,-2.5%,5.6%,5.0%,-11.0%,-0.7%,-1.2%
 STANFORD ,1,1,1,0,0,13.5%,6.9%,7.5%,N/A,N/A,4.6%,6.4%,18.8%,9.1%,28.6%,0.0%,17.0%,0.0%,-2.2%,15.6%,7.5%,3.3%,16.5%,5.3%,6.1%,7.9%,1.2%,13.2%,9.8%,5.3%,15.5%,6.3%,4.1%,2.9%,8.3%,3.3%,5.0%,3.4%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
 SUNY-ALBANY ,0,1,1,1,1,N/A,8.7%,5.1%,3.1%,2.9%,N/A,-12.1%,20.9%,7.6%,10.0%,17.3%,8.0%,7.5%,6.9%,5.7%,14.2%,5.1%,7.3%,9.6%,5.8%,22.9%,10.3%,-9.0%,-3.0%,8.6%,5.5%,-5.6%,10.4%,3.6%,7.4%,2.6%,11.9%,5.3%,-5.3%,3.1%,11.2%,2.1%,-1.9%,5.3%,-3.8%,-0.1%,0.5%,5.8%,2.7%,6.5%,2.0%
 SUNY-BUFFALO ,1,1,1,1,1,9.4%,9.0%,4.8%,4.6%,1.0%,8.6%,-18.7%,16.2%,17.4%,23.5%,6.5%,14.6%,16.4%,2.8%,5.0%,8.9%,13.4%,4.2%,12.2%,6.4%,7.7%,-1.5%,6.1%,5.2%,5.9%,4.9%,-3.0%,1.5%,7.9%,13.6%,-2.5%,12.7%,10.9%,5.0%,-1.6%,1.5%,5.1%,6.6%,4.5%,3.4%,-8.2%,-4.9%,4.6%,5.6%,5.1%,3.9%
 SUNY-STONY BROOK ,0,1,1,1,1,N/A,10.7%,4.1%,3.8%,3.9%,N/A,-1.4%,2.4%,13.1%,4.5%,10.5%,17.4%,10.7%,11.7%,4.7%,6.1%,18.9%,9.6%,6.0%,11.1%,12.3%,3.2%,-3.5%,12.0%,-5.4%,-1.8%,2.0%,14.3%,4.4%,4.0%,13.3%,2.8%,6.5%,0.3%,-2.2%,5.6%,6.0%,1.2%,6.6%,-2.3%,-4.6%,8.1%,12.1%,1.1%,3.3%,3.3%
 SYRACUSE ,1,1,1,1,1,10.4%,10.4%,3.1%,6.9%,5.3%,-3.3%,22.6%,11.5%,4.1%,17.1%,-4.4%,43.4%,-4.5%,13.1%,17.8%,14.8%,13.4%,-3.5%,9.7%,4.3%,10.8%,4.4%,-4.0%,14.8%,-15.7%,7.6%,0.2%,-5.2%,11.2%,7.0%,9.7%,5.1%,2.6%,1.2%,23.4%,-9.4%,17.7%,2.5%,9.0%,7.6%,11.0%,-1.8%,5.2%,4.3%,5.7%,7.3%
